Year,Champ,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G1HomeWin,Oppo,OppoPTS,Diff,HomeWin,HomeChamp,History,HomePTS,GuestPTS,TotalPTS,HomeGuestDiff,SeriesLastGame
2019,Raptors,6,1,0,240,39,82,0.476,13,33,0.394,23,29,0.793,11,28,39,25,8,2,12,23,114,FALSE,Warriors,110,-4,FALSE,TRUE,wlwwlw,114,110,224,4,TRUE
2020,Lakers,1,1,1,240,38,84,0.452,15,38,0.395,25,27,0.926,9,45,54,26,7,8,12,19,116,TRUE,Heat,98,18,TRUE,TRUE,w,116,98,214,18,FALSE
2020,Lakers,2,1,1,240,49,97,0.505,16,47,0.34,10,17,0.588,16,28,44,32,6,3,9,26,124,FALSE,Heat,114,10,TRUE,TRUE,ww,124,114,238,10,FALSE
2020,Lakers,3,0,0,240,34,79,0.43,14,42,0.333,22,29,0.759,11,32,43,23,8,2,19,22,104,FALSE,Heat,115,11,TRUE,TRUE,wwl,104,115,219,-11,FALSE
2020,Lakers,4,1,0,240,35,79,0.443,14,39,0.359,18,21,0.857,10,32,42,25,5,4,15,14,102,FALSE,Heat,96,-6,FALSE,TRUE,wwlw,102,96,198,6,FALSE
2020,Lakers,5,0,1,240,38,82,0.463,14,38,0.368,18,21,0.857,12,29,41,21,10,5,15,21,108,FALSE,Heat,111,-3,FALSE,TRUE,wwlwl,108,111,219,-3,FALSE
2020,Lakers,6,1,0,240,43,89,0.483,11,35,0.314,9,14,0.643,12,34,46,23,5,4,12,22,106,FALSE,Heat,93,-13,FALSE,TRUE,wwlwlw,106,93,199,13,TRUE
2021,Bucks,1,0,0,240,40,88,0.455,16,36,0.444,9,16,0.563,9,38,47,21,4,2,13,18,105,TRUE,Suns,118,-13,TRUE,FALSE,l,118,105,223,13,FALSE
2021,Bucks,2,0,0,240,42,93,0.452,9,31,0.29,15,23,0.652,18,28,46,21,8,7,9,17,108,FALSE,Suns,118,-10,TRUE,FALSE,ll,118,108,226,10,FALSE
2021,Bucks,3,1,1,240,43,90,0.478,14,36,0.389,20,26,0.769,13,34,47,28,8,2,9,18,120,FALSE,Suns,100,20,TRUE,FALSE,llw,120,100,220,20,FALSE
2021,Bucks,4,1,1,240,39,97,0.402,7,29,0.241,24,29,0.828,17,31,48,22,11,3,5,18,109,FALSE,Suns,103,6,TRUE,FALSE,llww,109,103,212,6,FALSE
2021,Bucks,5,1,0,240,50,87,0.575,14,28,0.5,9,17,0.529,11,26,37,26,7,1,11,17,123,FALSE,Suns,119,4,FALSE,FALSE,llwww,119,123,242,-4,FALSE
2021,Bucks,6,1,1,240,37,82,0.451,6,27,0.222,25,29,0.862,11,42,53,20,10,6,18,17,105,FALSE,Suns,98,7,TRUE,FALSE,llwwww,105,98,203,7,TRUE
2022,Warriors,1,0,1,240,39,88,0.443,19,45,0.422,11,15,0.733,12,27,39,24,8,6,14,16,108,FALSE,Celtics,120,-12,FALSE,TRUE,l,108,120,228,-12,FALSE
2022,Warriors,2,1,1,240,39,86,0.453,15,37,0.405,14,20,0.7,6,36,42,25,15,2,12,17,107,FALSE,Celtics,88,19,TRUE,TRUE,lw,107,88,195,19,FALSE
2022,Warriors,3,0,0,240,36,78,0.462,15,40,0.375,13,15,0.867,6,25,31,22,7,5,16,23,100,FALSE,Celtics,116,-16,TRUE,TRUE,lwl,116,100,216,16,FALSE
2022,Warriors,4,1,0,240,40,91,0.44,15,43,0.349,12,15,0.8,16,39,55,20,10,5,16,21,107,FALSE,Celtics,97,10,FALSE,TRUE,lwlw,97,107,204,-10,FALSE
